# op	level	name	count
read File arch/x86/kernel/process_64.c 15414920639
read File arch/x86/kernel/ptrace.c 49678
read File arch/x86/kernel/pvclock.c 14403520324
read File arch/x86/kernel/rtc.c 721486
read File arch/x86/kernel/setup.c 800
read File arch/x86/kernel/signal.c 502080381
read File arch/x86/kernel/signal_compat.c 54756934
read File arch/x86/kernel/stacktrace.c 0
read File arch/x86/kernel/step.c 3111903
read File arch/x86/kernel/sys_x86_64.c 117186927
read File arch/x86/kernel/tls.c 189
read File arch/x86/kernel/traps.c 84
read File arch/x86/kernel/tsc_sync.c 17212190
read File arch/x86/kernel/unwind_frame.c 440070
read File arch/x86/kernel/uprobes.c 148
read File arch/x86/lib/csum-partial_64.c 1447918
read File arch/x86/lib/csum-wrappers_64.c 1311088
read File arch/x86/lib/delay.c 0
read File arch/x86/lib/rwsem.S 0
read File arch/x86/lib/usercopy.c 157127904
read File arch/x86/lib/usercopy_64.c 1475804
read File arch/x86/mm/extable.c 19022515
read File arch/x86/mm/fault.c 3895783671
read File arch/x86/mm/gup.c 1276665012
read File arch/x86/mm/hugetlbpage.c 77004440
read File arch/x86/mm/init.c 1680
read File arch/x86/mm/init_64.c 1181400
read File arch/x86/mm/mmap.c 14107443
read File arch/x86/mm/mpx.c 9843420
read File arch/x86/mm/pageattr.c 111735
read File arch/x86/mm/pat.c 6626629
read File arch/x86/mm/pgtable.c 186745470
read File arch/x86/mm/physaddr.c 4550471080
read File arch/x86/mm/pkeys.c 23510137
read File arch/x86/mm/tlb.c 203750917
read File arch/x86/net/bpf_jit_comp.c 268
read File arch/x86/pci/common.c 506880
read File arch/x86/pci/direct.c 0
read File blk-cgroup.h 216
read File block/bio-integrity.c 244025008
read File block/bio.c 4282797738
read File block/blk-cgroup.c 46264268
read File block/blk-core.c 4567144592
read File block/blk-exec.c 4426015
read File block/blk-flush.c 222869972
read File block/blk-integrity.c 138939221
read File block/blk-ioc.c 4880108
read File block/blk-lib.c 39946
read File block/blk-map.c 4913572
read File block/blk-merge.c 16499826592
read File block/blk-mq-tag.c 254174577
read File block/blk-mq.c 3228596460
read File block/blk-settings.c 3058
read File block/blk-softirq.c 3762315
read File block/blk-stat.c 179856445
read File block/blk-tag.c 12698209
read File block/blk-throttle.c 186819238
read File block/blk-timeout.c 282526836
read File block/blk-wbt.c 395539152
read File block/bounce.c 291886993
read File block/cfq-iosched.c 32303372
read File block/elevator.c 11061138
read File block/genhd.c 130188339
read File block/ioctl.c 204298
read File block/ioprio.c 6927
read File block/partition-generic.c 1434678
read File crypto/ablkcipher.c 600
read File crypto/aead.c 160
read File crypto/ahash.c 60
read File crypto/akcipher.c 212
read File crypto/algapi.c 23138
read File crypto/algboss.c 1088
read File crypto/api.c 340055
read File crypto/asymmetric_keys/asymmetric_type.c 2364
read File crypto/asymmetric_keys/public_key.c 2435
read File crypto/asymmetric_keys/signature.c 0
read File crypto/asymmetric_keys/x509_cert_parser.c 1997
read File crypto/asymmetric_keys/x509_public_key.c 4068
read File crypto/blkcipher.c 2200
read File crypto/proc.c 20160
read File crypto/rng.c 460
read File crypto/rsa-pkcs1pad.c 2419
read File crypto/rsa.c 361
read File crypto/rsa_helper.c 19
read File crypto/scompress.c 0
read File crypto/sha256_generic.c 29014
read File crypto/shash.c 21328754439
read File crypto/skcipher.c 3480
read File drivers/acpi/glue.c 39385
read File drivers/acpi/proc.c 440
read File drivers/ata/libata-core.c 39810420
read File drivers/ata/libata-scsi.c 32571506
read File drivers/ata/libata-sff.c 128680769
read File drivers/base/bus.c 21069
read File drivers/base/cacheinfo.c 14112
read File drivers/base/class.c 629212
read File drivers/base/core.c 20513989
read File drivers/base/cpu.c 49779
read File drivers/base/dd.c 3318
read File drivers/base/devres.c 5073
read File drivers/base/devtmpfs.c 60552
read File drivers/base/map.c 1916502
read File drivers/base/power/main.c 57152
read File drivers/base/power/qos.c 4977
read File drivers/base/power/runtime.c 42191
read File drivers/base/power/sysfs.c 18435
read File drivers/base/power/wakeup.c 2996
read File drivers/base/property.c 1659
read File drivers/base/topology.c 1884
read File drivers/block/loop.c 389638623
read File drivers/block/virtio_blk.c 628708495
read File drivers/cdrom/cdrom.c 2688390
read File drivers/char/mem.c 1213689060
read File drivers/char/misc.c 100511
read File drivers/char/random.c 18094562772
read File drivers/char/tpm/tpm-chip.c 0
read File drivers/char/tpm/tpm-interface.c 0
read File drivers/char/virtio_console.c 2022084
read File drivers/connector/cn_proc.c 4399
read File drivers/connector/cn_queue.c 800
read File drivers/connector/connector.c 26768
read File drivers/cpufreq/cpufreq.c 0
read File drivers/cpuidle/cpuidle.c 0
read File drivers/cpuidle/driver.c 0
read File drivers/cpuidle/sysfs.c 40
read File drivers/firmware/dmi-id.c 11365
read File drivers/firmware/dmi_scan.c 524
read File drivers/infiniband/core/addr.c 212982
read File drivers/infiniband/core/cma.c 5781
read File drivers/infiniband/core/device.c 0
read File drivers/infiniband/core/roce_gid_mgmt.c 25680
read File drivers/input/evdev.c 101117
read File drivers/input/ff-core.c 120
read File drivers/input/input-compat.c 26376
read File drivers/input/input-mt.c 120
read File drivers/input/input.c 600478
read File drivers/input/misc/uinput.c 153420
read File drivers/input/mousedev.c 19440
read File drivers/leds/led-triggers.c 1327014
read File drivers/leds/trigger/ledtrig-disk.c 0
read File drivers/md/md.c 6400
read File drivers/net/ethernet/broadcom/cnic.c 18796
read File drivers/net/ethernet/chelsio/cxgb4/cxgb4_main.c 4488
read File drivers/net/loopback.c 205435
read File drivers/net/ppp/ppp_generic.c 11479
read File drivers/net/tun.c 83024
read File drivers/net/virtio_net.c 43368547
read File drivers/pci/access.c 633600
read File drivers/pci/pci-acpi.c 6145
read File drivers/pci/pci-driver.c 5740
read File drivers/pci/pci.c 5940
read File drivers/pci/proc.c 47060
read File drivers/pci/search.c 9800
read File drivers/rtc/interface.c 5722
read File drivers/rtc/rtc-cmos.c 3500
read File drivers/rtc/rtc-dev.c 1760
read File drivers/rtc/rtc-lib.c 14000
read File drivers/rtc/rtc-mc146818-lib.c 38486
read File drivers/rtc/rtc-proc.c 2200
read File drivers/scsi/scsi.c 18942876
read File drivers/scsi/scsi_common.c 487560
read File drivers/scsi/scsi_devinfo.c 109200
read File drivers/scsi/scsi_error.c 4602177
read File drivers/scsi/scsi_lib.c 65303074
read File drivers/scsi/scsi_proc.c 17040
read File drivers/scsi/scsi_sysfs.c 880
read File drivers/scsi/sg.c 12620
read File drivers/scsi/sr.c 5971567
read File drivers/tty/hvc/hvc_console.c 5500102
read File drivers/tty/n_tty.c 996652
read File drivers/tty/pty.c 64014
read File drivers/tty/serial/8250/8250_port.c 17380
read File drivers/tty/serial/serial_core.c 99220
read File drivers/tty/tty_audit.c 4936693
read File drivers/tty/tty_buffer.c 88151
read File drivers/tty/tty_io.c 8055129
read File drivers/tty/tty_ioctl.c 541275
read File drivers/tty/tty_ldisc.c 405686
read File drivers/tty/tty_ldsem.c 13191
read File drivers/tty/tty_mutex.c 85048
read File drivers/tty/tty_port.c 2040
read File drivers/tty/vt/consolemap.c 6669
read File drivers/tty/vt/keyboard.c 4786
read File drivers/tty/vt/vc_screen.c 0
read File drivers/tty/vt/vt.c 586803
read File drivers/tty/vt/vt_ioctl.c 114270
read File drivers/usb/core/usb-acpi.c 6145
read File drivers/video/console/vgacon.c 878081
read File drivers/video/fbdev/core/fbmem.c 21340
read File drivers/virtio/virtio_pci_common.c 48114755
read File drivers/virtio/virtio_ring.c 5510438738
read File fs/9p/fid.c 22906
read File fs/9p/vfs_inode_dotl.c 23562
read File fs/9p/vfs_super.c 2520
read File fs/aio.c 74724868
read File fs/anon_inodes.c 996748
read File fs/attr.c 32421005
read File fs/bad_inode.c 16803318
read File fs/binfmt_elf.c 168025729
read File fs/binfmt_script.c 1616686
read File fs/block_dev.c 133358360
read File fs/btrfs/super.c 621
read File fs/btrfs/volumes.c 0
read File fs/buffer.c 22700323321
read File fs/char_dev.c 4746067
read File fs/compat.c 3100
read File fs/coredump.c 1077894
read File fs/crypto/fname.c 120341420
read File fs/crypto/keyinfo.c 3959498
read File fs/dcache.c 5756123464
read File fs/debugfs/file.c 41042
read File fs/debugfs/inode.c 641075
read File fs/devpts/inode.c 1123502
read File fs/direct-io.c 2454772626
read File fs/drop_caches.c 4864302
read File fs/eventfd.c 5828
read File fs/eventpoll.c 120702239
read File fs/exec.c 539173437
read File fs/exportfs/expfs.c 834154
read File fs/ext4/acl.c 6401
read File fs/ext4/balloc.c 10597571748
read File fs/ext4/bitmap.c 379287029
read File fs/ext4/block_validity.c 3092492162
read File fs/ext4/dir.c 6408969939
read File fs/ext4/ext4.h 36106292
read File fs/ext4/ext4_jbd2.c 19888624096
read File fs/ext4/extents.c 2717433636
read File fs/ext4/extents_status.c 11305138226
read File fs/ext4/file.c 5778119382
read File fs/ext4/fsync.c 32629069
read File fs/ext4/hash.c 402488836
read File fs/ext4/ialloc.c 956058542
read File fs/ext4/indirect.c 507499590
read File fs/ext4/inline.c 323
read File fs/ext4/inode.c 153101636705
read File fs/ext4/ioctl.c 402512
read File fs/ext4/mballoc.c 6282726275
read File fs/ext4/namei.c 23451023422
read File fs/ext4/page-io.c 6322769870
read File fs/ext4/readpage.c 1440399788
read File fs/ext4/super.c 5548397884
read File fs/ext4/sysfs.c 31866
read File fs/ext4/xattr.c 33607054
read File fs/ext4/xattr_security.c 0
read File fs/ext4/xattr_trusted.c 0
read File fs/ext4/xattr_user.c 4361
read File fs/fat/namei_vfat.c 0
read File fs/fcntl.c 29632780
read File fs/fhandle.c 1163977
read File fs/file.c 11670742109
read File fs/file_table.c 867049044
read File fs/filesystems.c 17926334
read File fs/fs-writeback.c 4141042514
read File fs/fs_pin.c 702084
read File fs/fs_struct.c 26422638
read File fs/fuse/dev.c 903
read File fs/hugetlbfs/inode.c 7799
read File fs/inode.c 11516499947
read File fs/ioctl.c 5566093
read File fs/jbd2/checkpoint.c 158529209
read File fs/jbd2/commit.c 826320488
read File fs/jbd2/journal.c 800362137
read File fs/jbd2/recovery.c 2187
read File fs/jbd2/revoke.c 3126149437
read File fs/jbd2/transaction.c 47004054428
read File fs/jfs/jfs_logmgr.c 0
read File fs/jfs/jfs_metapage.c 0
read File fs/jfs/jfs_txnmgr.c 0
read File fs/jfs/jfs_xtree.c 0
read File fs/kernfs/dir.c 1399381003
read File fs/kernfs/file.c 61947321
read File fs/kernfs/inode.c 297513954
read File fs/kernfs/mount.c 14654373
read File fs/kernfs/symlink.c 404372482
read File fs/libfs.c 11498320
read File fs/locks.c 1459396014
read File fs/mbcache.c 20431
read File fs/mpage.c 55003071
read File fs/namei.c 15344243595
read File fs/namespace.c 2643872030
read File fs/notify/dnotify/dnotify.c 95340374
read File fs/notify/fanotify/fanotify.c 7890877463
read File fs/notify/fanotify/fanotify_user.c 4578237
read File fs/notify/fdinfo.c 82000
read File fs/notify/fsnotify.c 6555765186
read File fs/notify/group.c 51527
read File fs/notify/inode_mark.c 4486803
read File fs/notify/inotify/inotify_fsnotify.c 5945524
read File fs/notify/inotify/inotify_user.c 13790667
read File fs/notify/mark.c 36638319
read File fs/notify/notification.c 22246012
read File fs/notify/vfsmount_mark.c 1576
read File fs/nsfs.c 42315
read File fs/open.c 1450599001
read File fs/overlayfs/copy_up.c 1728
read File fs/overlayfs/dir.c 1345
read File fs/overlayfs/inode.c 3252
read File fs/overlayfs/namei.c 4227
read File fs/overlayfs/readdir.c 0
read File fs/overlayfs/super.c 10893
read File fs/overlayfs/util.c 9954
read File fs/pipe.c 418506487
read File fs/pnode.c 7668170
read File fs/posix_acl.c 50523385
read File fs/proc/array.c 960692893
read File fs/proc/base.c 365931969
read File fs/proc/cmdline.c 67824
read File fs/proc/consoles.c 4680
read File fs/proc/cpuinfo.c 0
read File fs/proc/devices.c 224640
read File fs/proc/fd.c 20543436
read File fs/proc/generic.c 36726983
read File fs/proc/inode.c 48158796
read File fs/proc/interrupts.c 113160
read File fs/proc/kcore.c 60200
read File fs/proc/kmsg.c 100514
read File fs/proc/loadavg.c 440
read File fs/proc/meminfo.c 603144
read File fs/proc/namespaces.c 374029
read File fs/proc/page.c 1690964201
read File fs/proc/proc_net.c 2379244
read File fs/proc/proc_sysctl.c 133883416
read File fs/proc/proc_tty.c 21200
read File fs/proc/root.c 170940
read File fs/proc/self.c 1447686
read File fs/proc/softirqs.c 4400
read File fs/proc/stat.c 103700
read File fs/proc/task_mmu.c 254492548
read File fs/proc/thread_self.c 5280
read File fs/proc/uptime.c 22275
read File fs/proc/version.c 1320
read File fs/proc_namespace.c 202397205
read File fs/quota/dquot.c 1774574275
read File fs/read_write.c 30815920140
read File fs/readdir.c 127020858
read File fs/select.c 148922653
read File fs/seq_file.c 5541841845
read File fs/signalfd.c 2678026
read File fs/splice.c 429736330
read File fs/stat.c 2707579698
read File fs/statfs.c 1666653
read File fs/super.c 2625263012
read File fs/sync.c 24217087
read File fs/sysfs/dir.c 168777
read File fs/sysfs/file.c 19187739
read File fs/sysfs/group.c 6240823
read File fs/sysfs/mount.c 640
read File fs/sysfs/symlink.c 86466
read File fs/timerfd.c 9639882
read File fs/tracefs/inode.c 641075
read File fs/utimes.c 732914
read File fs/xattr.c 99753841
read File fs/xfs/xfs_stats.c 11660
read File fs/xfs/xfs_super.c 0
read File fs/xfs/xfs_sysctl.c 480
read File include/asm-generic/pgtable.h 68494932
read File include/crypto/sha256_base.h 0
read File include/net/checksum.h 0
read File include/net/dst.h 1372
read File include/net/ip6_checksum.h 22127
read File include/net/sock.h 0
read File include/net/tcp.h 12360170
read File include/net/udp.h 0
read File ipc/ipc_sysctl.c 12153
read File ipc/mq_sysctl.c 4800
read File ipc/mqueue.c 59410
read File ipc/msg.c 672018471
read File ipc/msgutil.c 74733851
read File ipc/namespace.c 11140
read File ipc/sem.c 309977236
read File ipc/shm.c 43785195
